season,venue_date,venue_time,round,attendance_value,referee,home_manager,away_manager,home_captain,away_captain,formation_home,formation_away,home_possession,away_possession,home_lineup,away_lineup,home_team,away_team,home_shirtnumber,home_nationality,home_position,home_age,home_minutes,home_goals,home_assists,home_pens_made,home_pens_att,home_shots,home_shots_on_target,home_cards_yellow,home_cards_red,home_touches,home_tackles,home_interceptions,home_blocks,home_xg,home_npxg,home_xg_assist,home_sca,home_gca,home_passes_completed,home_passes,home_passes_pct,home_progressive_passes,home_carries,home_progressive_carries,home_take_ons,home_take_ons_won,home_passes_total_distance,home_passes_progressive_distance,home_passes_completed_short,home_passes_short,home_passes_pct_short,home_passes_completed_medium,home_passes_medium,home_passes_pct_medium,home_passes_completed_long,home_passes_long,home_passes_pct_long,home_pass_xa,home_assisted_shots,home_passes_into_final_third,home_passes_into_penalty_area,home_crosses_into_penalty_area,home_passes_live,home_passes_dead,home_passes_free_kicks,home_through_balls,home_passes_switches,home_crosses,home_throw_ins,home_corner_kicks,home_corner_kicks_in,home_corner_kicks_out,home_corner_kicks_straight,home_passes_offsides,home_passes_blocked,home_tackles_won,home_tackles_def_3rd,home_tackles_mid_3rd,home_tackles_att_3rd,home_challenge_tackles,home_challenges,home_challenge_tackles_pct,home_challenges_lost,home_blocked_shots,home_blocked_passes,home_tackles_interceptions,home_clearances,home_errors,home_touches_def_pen_area,home_touches_def_3rd,home_touches_mid_3rd,home_touches_att_3rd,home_touches_att_pen_area,home_touches_live_ball,home_take_ons_won_pct,home_take_ons_tackled,home_take_ons_tackled_pct,home_carries_distance,home_carries_progressive_distance,home_carries_into_final_third,home_carries_into_penalty_area,home_miscontrols,home_dispossessed,home_passes_received,home_progressive_passes_received,home_cards_yellow_red,home_fouls,home_fouled,home_offsides,home_pens_won,home_pens_conceded,home_own_goals,home_ball_recoveries,home_aerials_won,home_aerials_lost,home_aerials_won_pct,away_shirtnumber,away_nationality,away_position,away_age,away_minutes,away_goals,away_assists,away_pens_made,away_pens_att,away_shots,away_shots_on_target,away_cards_yellow,away_cards_red,away_touches,away_tackles,away_interceptions,away_blocks,away_xg,away_npxg,away_xg_assist,away_sca,away_gca,away_passes_completed,away_passes,away_passes_pct,away_progressive_passes,away_carries,away_progressive_carries,away_take_ons,away_take_ons_won,away_passes_total_distance,away_passes_progressive_distance,away_passes_completed_short,away_passes_short,away_passes_pct_short,away_passes_completed_medium,away_passes_medium,away_passes_pct_medium,away_passes_completed_long,away_passes_long,away_passes_pct_long,away_pass_xa,away_assisted_shots,away_passes_into_final_third,away_passes_into_penalty_area,away_crosses_into_penalty_area,away_passes_live,away_passes_dead,away_passes_free_kicks,away_through_balls,away_passes_switches,away_crosses,away_throw_ins,away_corner_kicks,away_corner_kicks_in,away_corner_kicks_out,away_corner_kicks_straight,away_passes_offsides,away_passes_blocked,away_tackles_won,away_tackles_def_3rd,away_tackles_mid_3rd,away_tackles_att_3rd,away_challenge_tackles,away_challenges,away_challenge_tackles_pct,away_challenges_lost,away_blocked_shots,away_blocked_passes,away_tackles_interceptions,away_clearances,away_errors,away_touches_def_pen_area,away_touches_def_3rd,away_touches_mid_3rd,away_touches_att_3rd,away_touches_att_pen_area,away_touches_live_ball,away_take_ons_won_pct,away_take_ons_tackled,away_take_ons_tackled_pct,away_carries_distance,away_carries_progressive_distance,away_carries_into_final_third,away_carries_into_penalty_area,away_miscontrols,away_dispossessed,away_passes_received,away_progressive_passes_received,away_cards_yellow_red,away_fouls,away_fouled,away_offsides,away_pens_won,away_pens_conceded,away_own_goals,away_ball_recoveries,away_aerials_won,away_aerials_lost,away_aerials_won_pct
2017-2018,2018-04-01,15:30,28,42100,Felix Zwayer,Florian Kohfeldt,Niko Kovač,Zlatko Junuzović,David Abraham,4-3-3,4-2-3-1,0.46,0.54,"['Jiří Pavlenka', 'Ludwig Augustinsson', 'Thomas Delaney', 'Max Kruse', 'Miloš Veljković', 'Zlatko Junuzović', 'Niklas Moisander', 'Theodor Gebre Selassie', 'Ishak Belfodil', 'Maximilian Eggestein', 'Philipp Bargfrede', 'Jaroslav Drobný', 'Robert Bauer', 'Florian Kainz', 'Aron Jóhannsson', 'Milot Rashica', 'Sebastian Langkamp', 'Marco Friedl']","['Jiří Pavlenka', 'Ludwig Augustinsson', 'Thomas Delaney', 'Max Kruse', 'Miloš Veljković', 'Zlatko Junuzović', 'Niklas Moisander', 'Theodor Gebre Selassie', 'Ishak Belfodil', 'Maximilian Eggestein', 'Philipp Bargfrede', 'Jaroslav Drobný', 'Robert Bauer', 'Florian Kainz', 'Aron Jóhannsson', 'Milot Rashica', 'Sebastian Langkamp', 'Marco Friedl']",Werder Bremen,Eintracht Frankfurt,,,,,990,1,1,0,0,9,4,2,0,556,10,10,9,0.9,0.9,0.9,18,2,351,476,73.7,36,214,13,10,5,7212,2754,129,157,82.2,162,199,81.4,58,102,56.9,0.6,9,29,6,0,420,52,12,0,9,17,27,6,4,1,0,4,10,6,4,6,0,4,6,66.7,2,2,7,20,19,0,49,165,294,103,19,556,50.0,5,50.0,1382,686,9,7,7,8,345,36,0,16,9,4,0,0,0,47,17,11,60.7,,,,,990,1,1,0,0,11,6,0,0,667,13,6,12,0.9,0.9,0.7,21,2,448,564,79.4,44,344,8,6,2,8331,2936,184,215,85.6,207,232,89.2,51,94,54.3,0.6,7,27,8,3,511,50,19,0,6,17,20,3,2,1,0,3,10,11,8,5,0,5,10,50.0,5,3,9,19,30,1,62,204,366,103,13,667,33.3,4,66.7,1834,906,8,1,12,6,443,44,0,9,16,3,0,0,1,45,11,17,39.3
2017-2018,2018-03-31,20:30,28,34765,Deniz Aytekin,Pál Dárdai,Bruno Labbadia,Vedad Ibišević,Ignacio Camacho,4-2-3-1,4-3-3,0.52,0.48,"['Rune Jarstein', 'Karim Rekik', 'Niklas Stark', 'Vladimír Darida', 'Salomon Kalou', 'Mathew Leckie', 'Maximilian Mittelstädt', 'Vedad Ibišević', 'Mitchell Weiser', 'Arne Maier', 'Fabian Lustenberger', 'Thomas Kraft', 'Peter Pekarík', 'Per Ciljan Skjelbred', 'Alexander Esswein', 'Ondrej Duda', 'Julian Schieber', 'Davie Selke']","['Rune Jarstein', 'Karim Rekik', 'Niklas Stark', 'Vladimír Darida', 'Salomon Kalou', 'Mathew Leckie', 'Maximilian Mittelstädt', 'Vedad Ibišević', 'Mitchell Weiser', 'Arne Maier', 'Fabian Lustenberger', 'Thomas Kraft', 'Peter Pekarík', 'Per Ciljan Skjelbred', 'Alexander Esswein', 'Ondrej Duda', 'Julian Schieber', 'Davie Selke']",Hertha BSC,Wolfsburg,,,,,990,0,0,0,0,9,2,1,0,634,13,9,14,0.5,0.5,0.4,17,0,405,545,74.3,44,284,8,19,9,8389,3328,132,162,81.5,209,250,83.6,62,117,53.0,0.5,8,38,9,0,490,55,15,0,6,18,28,4,0,4,0,0,15,10,9,3,1,2,4,50.0,2,4,10,22,20,1,52,219,300,124,16,634,47.4,10,52.6,1472,727,10,1,13,8,403,44,0,16,13,0,0,0,0,45,22,21,51.2,,,,,989,0,0,0,0,9,1,3,1,591,18,8,14,1.1,1.1,0.8,16,0,372,501,74.3,48,185,9,4,2,7957,3239,116,145,80.0,174,210,82.9,74,123,60.2,0.8,7,39,4,3,452,47,16,0,3,21,19,5,2,3,0,2,14,13,8,7,3,10,19,52.6,9,3,11,26,18,0,69,193,281,120,10,591,50.0,2,50.0,1084,485,4,1,16,11,369,47,1,14,15,2,0,0,0,35,21,22,48.8
2017-2018,2018-03-10,15:30,26,25550,Manuel Gräfe,Julian Nagelsmann,Bruno Labbadia,Kevin Vogt,Paul Verhaegh,3-1-4-2,4-2-3-1,0.46,0.54,"['Oliver Baumann', 'Pavel Kadeřábek', 'Lukas Rupp', 'Florian Grillitsch', 'Nico Schulz', 'Benjamin Hübner', 'Kevin Vogt', 'Kevin Akpoguma', 'Andrej Kramarić', 'Serge Gnabry', 'Dennis Geiger', 'Alexander Stolz', 'Ermin Bičakčić', 'Eugen Polanski', 'Steven Zuber', 'Nadiem Amiri', 'Mark Uth', 'Ádám Szalai']","['Oliver Baumann', 'Pavel Kadeřábek', 'Lukas Rupp', 'Florian Grillitsch', 'Nico Schulz', 'Benjamin Hübner', 'Kevin Vogt', 'Kevin Akpoguma', 'Andrej Kramarić', 'Serge Gnabry', 'Dennis Geiger', 'Alexander Stolz', 'Ermin Bičakčić', 'Eugen Polanski', 'Steven Zuber', 'Nadiem Amiri', 'Mark Uth', 'Ádám Szalai']",Hoffenheim,Wolfsburg,,,,,990,2,1,0,0,16,4,1,0,558,13,12,7,1.3,1.3,0.7,27,4,378,481,78.6,55,296,29,9,7,6610,2557,194,221,87.8,142,173,82.1,37,72,51.4,1.3,13,21,14,1,438,43,13,5,3,23,13,11,5,5,0,0,9,11,5,7,1,3,6,50.0,3,2,5,25,18,0,47,154,263,145,28,558,77.8,2,22.2,1950,1100,18,7,9,6,375,55,0,7,7,0,0,0,0,48,11,5,68.8,,,,,990,0,0,0,0,6,1,1,0,647,8,9,13,0.3,0.3,0.2,12,0,461,559,82.5,40,280,17,6,3,8614,3119,192,222,86.5,202,227,89.0,59,92,64.1,0.2,5,18,4,1,514,40,7,0,6,9,16,4,1,3,0,5,6,5,3,4,1,2,9,22.2,7,7,6,17,28,1,82,247,324,80,10,647,50.0,3,50.0,1661,853,12,2,15,10,460,40,0,8,7,5,0,0,1,23,5,11,31.3
2017-2018,2018-03-11,15:30,26,53548,Tobias Stieler,Tayfun Korkut,Ralph Hasenhüttl,Christian Gentner,Willi Orban,4-4-2,4-2-2-2,0.46,0.54,"['Ron-Robert Zieler', 'Emiliano Insúa', 'Dennis Aogo', 'Santiago Ascacíbar', 'Erik Thommy', 'Christian Gentner', 'Benjamin Pavard', 'Mario Gómez', 'Holger Badstuber', 'Andreas Beck', 'Daniel Ginczek', 'Jens Grahl', 'Anastasios Donis', 'Chadrac Akolo', 'Orel Mangala', 'Berkay Özcan', 'Jacob Bruun Larsen', 'Marcin Kamiński']","['Ron-Robert Zieler', 'Emiliano Insúa', 'Dennis Aogo', 'Santiago Ascacíbar', 'Erik Thommy', 'Christian Gentner', 'Benjamin Pavard', 'Mario Gómez', 'Holger Badstuber', 'Andreas Beck', 'Daniel Ginczek', 'Jens Grahl', 'Anastasios Donis', 'Chadrac Akolo', 'Orel Mangala', 'Berkay Özcan', 'Jacob Bruun Larsen', 'Marcin Kamiński']",Stuttgart,RB Leipzig,,,,,990,0,0,0,0,12,2,0,0,561,27,5,9,1.0,1.0,0.8,19,0,308,446,69.1,35,224,4,17,8,6441,2514,94,125,75.2,163,201,81.1,47,105,44.8,1.2,6,22,9,7,389,55,11,0,2,22,30,3,1,1,0,2,7,15,13,11,3,15,27,55.6,12,1,8,32,30,1,64,205,241,117,18,561,47.1,9,52.9,1050,520,6,0,7,5,304,34,0,16,12,2,0,0,0,41,20,22,47.6,,,,,990,0,0,0,0,8,3,2,0,634,14,5,10,0.9,0.9,0.8,13,0,389,528,73.7,42,303,17,27,12,6778,2922,177,214,82.7,150,203,73.9,48,82,58.5,1.0,6,38,6,3,473,55,18,1,0,22,26,5,1,2,0,0,11,12,9,4,1,9,17,52.9,8,5,5,19,28,1,57,198,293,148,14,634,44.4,15,55.6,1953,958,11,4,13,12,387,42,0,12,16,0,0,0,0,47,22,20,52.4
2017-2018,2018-02-19,20:30,23,45100,Felix Zwayer,Niko Kovač,Ralph Hasenhüttl,David Abraham,Willi Orban,3-4-1-2,4-3-3,0.44,0.56,"['Lukáš Hrádecký', 'Simon Falette', 'Ante Rebić', 'Sébastien Haller', 'Carlos Salcedo', 'Kevin-Prince Boateng', 'David Abraham', 'Makoto Hasebe', 'Timothy Chandler', 'Danny da Costa', 'Marius Wolf', 'Jan Zimmermann', 'Gelson Fernandes', 'Luka Jović', 'Mijat Gaćinović', 'Jetro Willems', 'Marco Russ', 'Aymen Barkok']","['Lukáš Hrádecký', 'Simon Falette', 'Ante Rebić', 'Sébastien Haller', 'Carlos Salcedo', 'Kevin-Prince Boateng', 'David Abraham', 'Makoto Hasebe', 'Timothy Chandler', 'Danny da Costa', 'Marius Wolf', 'Jan Zimmermann', 'Gelson Fernandes', 'Luka Jović', 'Mijat Gaćinović', 'Jetro Willems', 'Marco Russ', 'Aymen Barkok']",Eintracht Frankfurt,RB Leipzig,,,,,990,2,2,0,0,13,3,6,0,524,23,17,19,1.6,1.6,1.4,23,4,258,390,66.2,37,240,21,16,9,5377,2249,71,97,73.2,144,180,80.0,39,83,47.0,1.4,9,26,7,2,330,56,18,2,4,20,23,7,2,5,0,4,18,17,8,12,3,17,21,81.0,4,6,13,40,34,0,49,148,256,132,26,524,56.3,7,43.8,1269,560,8,7,15,9,254,35,0,18,13,4,0,0,0,50,24,29,45.3,,,,,990,1,1,0,0,10,2,2,0,615,16,8,19,0.5,0.5,0.4,18,2,357,493,72.4,30,225,18,21,4,5549,2417,176,210,83.8,116,148,78.4,36,80,45.0,0.5,8,21,6,2,419,69,22,1,1,15,30,5,3,1,1,5,14,10,13,2,1,7,16,43.8,9,4,15,24,28,0,58,217,287,116,17,615,19.0,17,81.0,1127,551,9,2,14,6,355,30,0,13,18,5,0,0,0,47,29,24,54.7
2017-2018,2018-02-03,18:30,21,49018,Tobias Stieler,Dieter Hecking,Ralph Hasenhüttl,Lars Stindl,Willi Orban,4-4-2,4-3-3,0.47,0.53,"['Tobias Sippel', 'Jannik Vestergaard', 'Christoph Kramer', 'Patrick Herrmann', 'Denis Zakaria', 'Thorgan Hazard', 'Lars Stindl', 'Tony Jantschke', 'Matthias Ginter', 'Nico Elvedi', 'Vincenzo Grifo', 'Moritz Nicolas', 'Mandela Egbo', 'Reece Oxford', 'Josip Drmić', 'Jonas Hofmann', 'Raúl Bobadilla', 'Mickaël Cuisance']","['Tobias Sippel', 'Jannik Vestergaard', 'Christoph Kramer', 'Patrick Herrmann', 'Denis Zakaria', 'Thorgan Hazard', 'Lars Stindl', 'Tony Jantschke', 'Matthias Ginter', 'Nico Elvedi', 'Vincenzo Grifo', 'Moritz Nicolas', 'Mandela Egbo', 'Reece Oxford', 'Josip Drmić', 'Jonas Hofmann', 'Raúl Bobadilla', 'Mickaël Cuisance']",Mönchengladbach,RB Leipzig,,,,,990,0,0,0,0,10,3,2,0,573,22,11,18,1.1,1.1,1.1,18,0,326,470,69.4,29,293,16,22,15,5750,2351,128,155,82.6,148,197,75.1,30,77,39.0,0.8,9,20,2,2,409,56,16,0,1,16,29,1,1,0,0,5,18,13,15,6,1,14,18,77.8,4,4,14,33,24,0,61,214,253,109,15,573,68.2,7,31.8,1270,718,7,7,9,4,322,29,0,14,11,5,0,0,0,45,16,16,50.0,,,,,990,1,1,0,0,16,6,2,0,667,11,13,22,1.5,1.5,1.4,30,2,421,538,78.3,57,364,19,18,4,6526,2543,204,228,89.5,142,162,87.7,35,83,42.2,1.8,14,40,15,6,485,50,18,0,0,24,20,7,3,3,0,3,16,8,6,5,0,7,22,31.8,15,5,17,24,20,0,56,160,326,189,24,667,22.2,14,77.8,1924,1041,17,2,23,8,417,56,0,13,13,3,0,0,0,59,16,16,50.0
2017-2018,2018-03-17,15:30,27,49500,Daniel Siebert,Niko Kovač,Sandro Schwarz,David Abraham,Daniel Brosinski,3-1-4-2,3-4-1-2,0.52,0.48,"['Lukáš Hrádecký', 'Simon Falette', 'Ante Rebić', 'Jonathan de Guzmán', 'Luka Jović', 'Jetro Willems', 'Kevin-Prince Boateng', 'David Abraham', 'Makoto Hasebe', 'Danny da Costa', 'Marius Wolf', 'Jan Zimmermann', 'Gelson Fernandes', 'Danny Blum', 'Sébastien Haller', 'Mijat Gaćinović', 'Marco Russ', 'Taleb Tawatha']","['Lukáš Hrádecký', 'Simon Falette', 'Ante Rebić', 'Jonathan de Guzmán', 'Luka Jović', 'Jetro Willems', 'Kevin-Prince Boateng', 'David Abraham', 'Makoto Hasebe', 'Danny da Costa', 'Marius Wolf', 'Jan Zimmermann', 'Gelson Fernandes', 'Danny Blum', 'Sébastien Haller', 'Mijat Gaćinović', 'Marco Russ', 'Taleb Tawatha']",Eintracht Frankfurt,Mainz 05,,,,,990,3,2,0,0,15,6,0,0,651,25,7,14,2.6,2.6,2.0,27,6,447,550,81.3,37,325,22,11,3,8352,2880,172,194,88.7,205,230,89.1,54,95,56.8,1.9,12,23,9,1,502,47,14,0,1,10,17,4,3,1,0,1,17,19,11,12,2,14,27,51.9,13,4,10,32,21,0,65,228,324,103,21,651,27.3,8,72.7,1702,973,11,5,6,9,443,37,0,9,9,1,0,0,0,43,7,16,30.4,,,,,990,0,0,0,0,13,1,1,0,613,17,6,19,0.6,0.6,0.4,25,0,403,501,80.4,38,324,15,27,13,7022,2920,173,198,87.4,177,201,88.1,38,70,54.3,1.1,8,26,6,2,450,48,8,0,6,16,21,6,1,5,0,3,10,11,6,9,2,8,11,72.7,3,4,15,23,20,2,53,205,282,132,15,613,48.1,14,51.9,1690,874,7,1,9,11,401,38,0,11,9,3,0,0,0,41,16,7,69.6
2017-2018,2018-01-20,15:30,19,23700,Benjamin Brand,Christian Streich,Ralph Hasenhüttl,Nils Petersen,Willi Orban,3-4-3,4-3-3,0.41,0.59,"['Alexander Schwolow', 'Çağlar Söyüncü', 'Manuel Gulde', 'Amir Abrashi', 'Lucas Höler', 'Pascal Stenzel', 'Nils Petersen', 'Janik Haberer', 'Marc-Oliver Kempf', 'Robin Koch', 'Christian Günter', 'Rafał Gikiewicz', 'Marco Terrazzino', 'Lukas Kübler', 'Julian Schuster', 'Caleb Stanko', 'Tim Kleindienst', 'Mohamed Dräger']","['Alexander Schwolow', 'Çağlar Söyüncü', 'Manuel Gulde', 'Amir Abrashi', 'Lucas Höler', 'Pascal Stenzel', 'Nils Petersen', 'Janik Haberer', 'Marc-Oliver Kempf', 'Robin Koch', 'Christian Günter', 'Rafał Gikiewicz', 'Marco Terrazzino', 'Lukas Kübler', 'Julian Schuster', 'Caleb Stanko', 'Tim Kleindienst', 'Mohamed Dräger']",Freiburg,RB Leipzig,,,,,990,2,1,0,0,9,4,0,0,512,26,8,11,0.6,0.6,0.5,16,4,267,397,67.3,28,228,8,18,8,6685,2811,46,83,55.4,150,176,85.2,66,120,55.0,0.6,7,21,9,2,332,64,16,0,5,14,28,6,0,5,0,1,21,20,16,9,1,11,25,44.0,14,3,8,34,29,0,79,227,186,105,16,512,44.4,10,55.6,1274,465,6,1,15,15,264,27,0,12,12,1,0,0,0,39,22,27,44.9,,,,,990,1,1,0,0,12,3,0,0,694,25,9,21,0.8,0.8,0.6,21,2,447,564,79.3,51,353,27,25,14,7372,2578,241,271,88.9,145,180,80.6,45,79,57.0,1.2,9,46,8,2,504,57,13,0,0,18,30,6,4,0,0,3,9,17,9,13,3,10,18,55.6,8,2,19,34,28,0,40,160,355,188,23,694,56.0,11,44.0,2418,1338,20,7,20,15,444,50,0,13,12,3,0,0,0,41,27,22,55.1
2017-2018,2017-12-09,15:30,15,45226,Christian Dingert,Markus Gisdol,Martin Schmidt,Kyriakos Papadopoulos,Mario Gómez,4-2-3-1,4-2-3-1,0.53,0.47,"['Christian Mathenia', 'Dennis Diekmeier', 'Mërgim Mavraj', 'Douglas Santos', 'Kyriakos Papadopoulos', 'Walace', 'Aaron Hunt', 'Filip Kostić', 'Gideon Jung', 'Jann-Fiete Arp', 'Tatsuya Ito', 'Julian Pollersbeck', 'Rick van Drongelen', 'André Hahn', 'Luca Waldschmidt', 'Sven Schipplock', 'Albin Ekdal', 'Gōtoku Sakai']","['Christian Mathenia', 'Dennis Diekmeier', 'Mërgim Mavraj', 'Douglas Santos', 'Kyriakos Papadopoulos', 'Walace', 'Aaron Hunt', 'Filip Kostić', 'Gideon Jung', 'Jann-Fiete Arp', 'Tatsuya Ito', 'Julian Pollersbeck', 'Rick van Drongelen', 'André Hahn', 'Luca Waldschmidt', 'Sven Schipplock', 'Albin Ekdal', 'Gōtoku Sakai']",Hamburger SV,Wolfsburg,,,,,990,0,0,0,0,12,3,2,0,603,24,11,10,1.1,1.1,0.7,20,0,369,491,75.2,48,362,21,23,11,6920,2557,132,158,83.5,189,232,81.5,37,81,45.7,0.7,6,34,9,3,437,54,13,0,8,16,29,6,2,2,0,0,11,16,11,11,2,6,12,50.0,6,2,8,35,19,0,46,190,288,134,29,603,47.8,12,52.2,1850,1022,8,6,19,11,362,47,0,16,13,0,0,0,0,62,11,18,37.9,,,,,990,0,0,0,0,3,0,2,0,533,23,16,13,0.1,0.1,0.1,6,0,305,430,70.9,39,213,13,12,6,7085,2971,78,107,72.9,158,192,82.3,67,119,56.3,0.2,2,32,4,3,375,55,16,0,8,21,27,2,1,1,0,0,10,19,11,9,3,12,23,52.2,11,3,10,39,14,0,62,179,253,108,9,533,50.0,6,50.0,1138,503,10,4,8,18,303,38,0,15,16,0,0,0,0,53,18,11,62.1
2017-2018,2017-12-13,20:30,16,75000,Daniel Siebert,Jupp Heynckes,Stephan Ruthenbeck,Thomas Müller,Matthias Lehmann,4-3-3,5-4-1,0.83,0.17,"['Tom Starke', 'Niklas Süle', 'Franck Ribéry', 'Robert Lewandowski', 'Rafinha', 'Jérôme Boateng', 'Sebastian Rudy', 'Arturo Vidal', 'Corentin Tolisso', 'Thomas Müller', 'David Alaba', 'Leo Weinkauf', 'Mats Hummels', 'Javi Martínez', 'James Rodríguez', 'Kwasi Okyere Wriedt', 'Kingsley Coman', 'Joshua Kimmich']","['Tom Starke', 'Niklas Süle', 'Franck Ribéry', 'Robert Lewandowski', 'Rafinha', 'Jérôme Boateng', 'Sebastian Rudy', 'Arturo Vidal', 'Corentin Tolisso', 'Thomas Müller', 'David Alaba', 'Leo Weinkauf', 'Mats Hummels', 'Javi Martínez', 'James Rodríguez', 'Kwasi Okyere Wriedt', 'Kingsley Coman', 'Joshua Kimmich']",Bayern Munich,Köln,,,,,990,1,1,0,0,26,8,0,0,987,20,12,7,3.7,3.7,3.2,50,2,791,902,87.7,104,686,37,23,7,14669,4150,310,336,92.3,393,428,91.8,77,112,68.8,3.7,19,94,17,3,857,43,10,3,4,52,16,13,3,8,0,2,14,17,5,10,5,15,28,53.6,13,2,5,32,2,0,31,123,442,428,35,987,30.4,16,69.6,2898,1828,42,4,6,5,786,104,0,8,12,2,0,0,0,65,10,17,37.0,,,,,990,0,0,0,0,7,1,0,0,329,21,16,14,0.3,0.3,0.3,14,0,113,190,59.5,7,127,11,28,13,2195,1390,55,68,80.9,37,55,67.3,15,57,26.3,0.2,6,7,1,1,149,41,10,0,2,4,11,1,0,0,0,0,5,14,18,3,0,16,23,69.6,7,4,10,37,51,0,90,203,98,37,5,329,46.4,15,53.6,834,544,7,3,13,5,111,7,0,13,7,0,0,0,0,43,17,10,63.0
