Date,Home Team,Away Team
25/09/2024 16:45,AZ Alkmaar,Elfsborg
25/09/2024 16:45,Bodø/Glimt,Porto
25/09/2024 19:00,Man Utd,Twente
25/09/2024 19:00,Galatasaray,PAOK
25/09/2024 19:00,Dynamo Kyiv,Lazio
25/09/2024 19:00,Ludogorets,Slavia Praha
25/09/2024 19:00,Midtjylland,Hoffenheim
25/09/2024 19:00,Nice,Real Sociedad
25/09/2024 19:00,Anderlecht,Ferencváros
26/09/2024 16:45,Fenerbahçe,Union SG
26/09/2024 16:45,Malmö,Rangers
26/09/2024 19:00,Roma,Athletic Club
26/09/2024 19:00,Ajax,Besiktas
26/09/2024 19:00,Frankfurt,Viktoria Plzen
26/09/2024 19:00,Braga,M. Tel-Aviv
26/09/2024 19:00,Lyon,Olympiacos
26/09/2024 19:00,FCSB,RFS
26/09/2024 19:35,Tottenham,Qarabag
03/10/2024 16:45,Lazio,Nice
03/10/2024 16:45,Slavia Praha,Ajax
03/10/2024 16:45,Real Sociedad,Anderlecht
03/10/2024 16:45,Olympiacos,Braga
03/10/2024 16:45,M. Tel-Aviv,Midtjylland
03/10/2024 16:45,Ferencváros,Tottenham
03/10/2024 16:45,Qarabag,Malmö
03/10/2024 16:45,Hoffenheim,Dynamo Kyiv
03/10/2024 16:45,RFS,Galatasaray
03/10/2024 19:00,Porto,Man Utd
03/10/2024 19:00,Rangers,Lyon
03/10/2024 19:00,PAOK,FCSB
03/10/2024 19:00,Viktoria Plzen,Ludogorets
03/10/2024 19:00,Union SG,Bodø/Glimt
03/10/2024 19:00,Athletic Club,AZ Alkmaar
03/10/2024 19:00,Twente,Fenerbahçe
03/10/2024 19:00,Besiktas,Frankfurt
03/10/2024 19:00,Elfsborg,Roma
23/10/2024 14:30,Braga,Bodø/Glimt
23/10/2024 14:30,Galatasaray,Elfsborg
24/10/2024 16:45,Roma,Dynamo Kyiv
24/10/2024 16:45,Frankfurt,RFS
24/10/2024 16:45,PAOK,Viktoria Plzen
24/10/2024 16:45,M. Tel-Aviv,Real Sociedad
24/10/2024 16:45,Ferencváros,Nice
24/10/2024 16:45,Qarabag,Ajax
24/10/2024 16:45,Midtjylland,Union SG
24/10/2024 19:00,Porto,Hoffenheim
24/10/2024 19:00,Rangers,FCSB
24/10/2024 19:00,Tottenham,AZ Alkmaar
24/10/2024 19:00,Lyon,Besiktas
