Date,Home Team,Away Team
06/09/2022 16:45,Dinamo Zagreb,Chelsea
06/09/2022 16:45,Dortmund,Copenhagen
06/09/2022 19:00,Salzburg,Milan
06/09/2022 19:00,Celtic,Real Madrid
06/09/2022 19:00,Leipzig,Shakhtar Donetsk
06/09/2022 19:00,Sevilla,Man City
06/09/2022 19:00,Paris,Juventus
06/09/2022 19:00,Benfica,M. Haifa
07/09/2022 16:45,Ajax,Rangers
07/09/2022 16:45,Frankfurt,Sporting CP
07/09/2022 19:00,Napoli,Liverpool
07/09/2022 19:00,Atlético,Porto
07/09/2022 19:00,Club Brugge,Leverkusen
07/09/2022 19:00,Barcelona,Plzen
07/09/2022 19:00,Inter,Bayern
07/09/2022 19:00,Tottenham,Marseille
13/09/2022 16:45,Plzen,Inter
13/09/2022 16:45,Sporting CP,Tottenham
13/09/2022 19:00,Liverpool,Ajax
13/09/2022 19:00,Porto,Club Brugge
13/09/2022 19:00,Leverkusen,Atlético
13/09/2022 19:00,Bayern,Barcelona
13/09/2022 19:00,Marseille,Frankfurt
14/09/2022 16:45,Milan,Dinamo Zagreb
14/09/2022 16:45,Shakhtar Donetsk,Celtic
14/09/2022 19:00,Rangers,Napoli
14/09/2022 19:00,Chelsea,Salzburg
14/09/2022 19:00,Real Madrid,Leipzig
14/09/2022 19:00,Man City,Dortmund
14/09/2022 19:00,Copenhagen,Sevilla
14/09/2022 19:00,Juventus,Benfica
14/09/2022 19:00,M. Haifa,Paris
04/10/2022 16:45,Bayern,Plzen
04/10/2022 16:45,Marseille,Sporting CP
04/10/2022 19:00,Liverpool,Rangers
04/10/2022 19:00,Ajax,Napoli
04/10/2022 19:00,Porto,Leverkusen
04/10/2022 19:00,Club Brugge,Atlético
04/10/2022 19:00,Inter,Barcelona
04/10/2022 19:00,Frankfurt,Tottenham
05/10/2022 16:45,Salzburg,Dinamo Zagreb
05/10/2022 16:45,Leipzig,Celtic
05/10/2022 19:00,Chelsea,Milan
05/10/2022 19:00,Real Madrid,Shakhtar Donetsk
05/10/2022 19:00,Man City,Copenhagen
05/10/2022 19:00,Sevilla,Dortmund
05/10/2022 19:00,Juventus,M. Haifa
05/10/2022 19:00,Benfica,Paris
11/10/2022 16:45,Copenhagen,Man City
11/10/2022 16:45,M. Haifa,Juventus
11/10/2022 19:00,Dinamo Zagreb,Salzburg
11/10/2022 19:00,Milan,Chelsea
11/10/2022 19:00,Shakhtar Donetsk,Real Madrid
11/10/2022 19:00,Celtic,Leipzig
11/10/2022 19:00,Dortmund,Sevilla
11/10/2022 19:00,Paris,Benfica
12/10/2022 16:45,Napoli,Ajax
12/10/2022 16:45,Atlético,Club Brugge
12/10/2022 19:00,Rangers,Liverpool
12/10/2022 19:00,Leverkusen,Porto
12/10/2022 19:00,Barcelona,Inter
12/10/2022 19:00,Plzen,Bayern
12/10/2022 19:00,Tottenham,Frankfurt
12/10/2022 19:00,Sporting CP,Marseille
25/10/2022 16:45,Salzburg,Chelsea
25/10/2022 16:45,Sevilla,Copenhagen
25/10/2022 19:00,Dinamo Zagreb,Milan
25/10/2022 19:00,Celtic,Shakhtar Donetsk
25/10/2022 19:00,Leipzig,Real Madrid
25/10/2022 19:00,Dortmund,Man City
25/10/2022 19:00,Paris,M. Haifa
25/10/2022 19:00,Benfica,Juventus
26/10/2022 16:45,Club Brugge,Porto
26/10/2022 16:45,Inter,Plzen
26/10/2022 19:00,Napoli,Rangers
26/10/2022 19:00,Ajax,Liverpool
26/10/2022 19:00,Atlético,Leverkusen
26/10/2022 19:00,Barcelona,Bayern
26/10/2022 19:00,Tottenham,Sporting CP
26/10/2022 19:00,Frankfurt,Marseille
01/11/2022 17:45,Porto,Atlético
01/11/2022 17:45,Leverkusen,Club Brugge
01/11/2022 20:00,Liverpool,Napoli
01/11/2022 20:00,Rangers,Ajax
01/11/2022 20:00,Bayern,Inter
01/11/2022 20:00,Plzen,Barcelona
01/11/2022 20:00,Sporting CP,Frankfurt
01/11/2022 20:00,Marseille,Tottenham
02/11/2022 17:45,Real Madrid,Celtic
02/11/2022 17:45,Shakhtar Donetsk,Leipzig
02/11/2022 20:00,Chelsea,Dinamo Zagreb
02/11/2022 20:00,Milan,Salzburg
02/11/2022 20:00,Man City,Sevilla
02/11/2022 20:00,Copenhagen,Dortmund
02/11/2022 20:00,Juventus,Paris
02/11/2022 20:00,M. Haifa,Benfica
14/02/2023 20:00,Milan,Tottenham
14/02/2023 20:00,Paris,Bayern
15/02/2023 20:00,Club Brugge,Benfica
15/02/2023 20:00,Dortmund,Chelsea
21/02/2023 20:00,Liverpool,Real Madrid
21/02/2023 20:00,Frankfurt,Napoli
22/02/2023 20:00,Leipzig,Man City
22/02/2023 20:00,Inter,Porto
07/03/2023 20:00,Benfica,Club Brugge
07/03/2023 20:10,Chelsea,Dortmund
08/03/2023 20:00,Bayern,Paris
08/03/2023 20:10,Tottenham,Milan
14/03/2023 20:00,Man City,Leipzig
14/03/2023 20:00,Porto,Inter
15/03/2023 20:00,Real Madrid,Liverpool
15/03/2023 20:00,Napoli,Frankfurt
11/04/2023 19:00,Benfica,Inter
11/04/2023 19:00,Man City,Bayern
12/04/2023 19:00,Real Madrid,Chelsea
12/04/2023 19:00,Milan,Napoli
18/04/2023 19:00,Napoli,Milan
18/04/2023 19:00,Chelsea,Real Madrid
19/04/2023 19:00,Bayern,Man City
19/04/2023 19:00,Inter,Benfica
09/05/2023 19:00,Real Madrid,Man City
10/05/2023 19:00,Milan,Inter
16/05/2023 19:00,Inter,Milan
17/05/2023 19:00,Man City,Real Madrid
10/06/2023 19:00,Man City,Inter
