Date,Home Team,Away Team
18/09/2018 18:55,Internazionale,Tottenham
18/09/2018 18:55,Barcelona,PSV
18/09/2018 21:00,Monaco,Atlético
18/09/2018 21:00,Club Brugge,Dortmund
18/09/2018 21:00,Crvena zvezda,Napoli
18/09/2018 21:00,Liverpool,Paris
18/09/2018 21:00,Schalke,Porto
18/09/2018 21:00,Galatasaray,Lokomotiv Moskva
19/09/2018 18:55,Ajax,AEK
19/09/2018 18:55,Shakhtar Donetsk,Hoffenheim
19/09/2018 21:00,Benfica,Bayern
19/09/2018 21:00,Man. City,Lyon
19/09/2018 21:00,Plzen,CSKA Moskva
19/09/2018 21:00,Real Madrid,Roma
19/09/2018 21:00,Valencia,Juventus
19/09/2018 21:00,Young Boys,Man. United
02/10/2018 18:55,Hoffenheim,Man. City
02/10/2018 18:55,Juventus,Young Boys
02/10/2018 21:00,AEK,Benfica
02/10/2018 21:00,Bayern,Ajax
02/10/2018 21:00,Lyon,Shakhtar Donetsk
02/10/2018 21:00,Roma,Plzen
02/10/2018 21:00,CSKA Moskva,Real Madrid
02/10/2018 21:00,Man. United,Valencia
03/10/2018 18:55,Paris,Crvena zvezda
03/10/2018 18:55,Lokomotiv Moskva,Schalke
03/10/2018 21:00,Dortmund,Monaco
03/10/2018 21:00,Atlético,Club Brugge
03/10/2018 21:00,PSV,Internazionale
03/10/2018 21:00,Tottenham,Barcelona
03/10/2018 21:00,Napoli,Liverpool
03/10/2018 21:00,Porto,Galatasaray
23/10/2018 18:55,AEK,Bayern
23/10/2018 18:55,Young Boys,Valencia
23/10/2018 21:00,Ajax,Benfica
23/10/2018 21:00,Shakhtar Donetsk,Man. City
23/10/2018 21:00,Hoffenheim,Lyon
23/10/2018 21:00,Real Madrid,Plzen
23/10/2018 21:00,Roma,CSKA Moskva
23/10/2018 21:00,Man. United,Juventus
24/10/2018 18:55,Club Brugge,Monaco
24/10/2018 18:55,PSV,Tottenham
24/10/2018 21:00,Dortmund,Atlético
24/10/2018 21:00,Barcelona,Internazionale
24/10/2018 21:00,Liverpool,Crvena zvezda
24/10/2018 21:00,Paris,Napoli
24/10/2018 21:00,Galatasaray,Schalke
24/10/2018 21:00,Lokomotiv Moskva,Porto
06/11/2018 18:55,Monaco,Club Brugge
06/11/2018 18:55,Crvena zvezda,Liverpool
06/11/2018 21:00,Atlético,Dortmund
06/11/2018 21:00,Internazionale,Barcelona
06/11/2018 21:00,Tottenham,PSV
06/11/2018 21:00,Napoli,Paris
06/11/2018 21:00,Schalke,Galatasaray
06/11/2018 21:00,Porto,Lokomotiv Moskva
07/11/2018 18:55,CSKA Moskva,Roma
07/11/2018 18:55,Valencia,Young Boys
07/11/2018 21:00,Benfica,Ajax
07/11/2018 21:00,Bayern,AEK
07/11/2018 21:00,Man. City,Shakhtar Donetsk
07/11/2018 21:00,Lyon,Hoffenheim
07/11/2018 21:00,Plzen,Real Madrid
07/11/2018 21:00,Juventus,Man. United
27/11/2018 18:55,AEK,Ajax
27/11/2018 18:55,CSKA Moskva,Plzen
27/11/2018 21:00,Bayern,Benfica
27/11/2018 21:00,Lyon,Man. City
27/11/2018 21:00,Hoffenheim,Shakhtar Donetsk
27/11/2018 21:00,Roma,Real Madrid
27/11/2018 21:00,Juventus,Valencia
27/11/2018 21:00,Man. United,Young Boys
28/11/2018 18:55,Atlético,Monaco
28/11/2018 18:55,Lokomotiv Moskva,Galatasaray
28/11/2018 21:00,Dortmund,Club Brugge
28/11/2018 21:00,Tottenham,Internazionale
28/11/2018 21:00,PSV,Barcelona
28/11/2018 21:00,Napoli,Crvena zvezda
28/11/2018 21:00,Paris,Liverpool
28/11/2018 21:00,Porto,Schalke
11/12/2018 18:55,Schalke,Lokomotiv Moskva
11/12/2018 18:55,Galatasaray,Porto
11/12/2018 21:00,Monaco,Dortmund
11/12/2018 21:00,Club Brugge,Atlético
11/12/2018 21:00,Internazionale,PSV
11/12/2018 21:00,Barcelona,Tottenham
11/12/2018 21:00,Crvena zvezda,Paris
11/12/2018 21:00,Liverpool,Napoli
12/12/2018 18:55,Plzen,Roma
12/12/2018 18:55,Real Madrid,CSKA Moskva
12/12/2018 21:00,Benfica,AEK
12/12/2018 21:00,Ajax,Bayern
12/12/2018 21:00,Man. City,Hoffenheim
12/12/2018 21:00,Shakhtar Donetsk,Lyon
12/12/2018 21:00,Valencia,Man. United
12/12/2018 21:00,Young Boys,Juventus
12/02/2019 21:00,Roma,Porto
12/02/2019 21:00,Man. United,Paris
13/02/2019 21:00,Tottenham,Dortmund
13/02/2019 21:00,Ajax,Real Madrid
19/02/2019 21:00,Lyon,Barcelona
19/02/2019 21:00,Liverpool,Bayern
20/02/2019 21:00,Atlético,Juventus
20/02/2019 21:00,Schalke,Man. City
05/03/2019 21:00,Dortmund,Tottenham
05/03/2019 21:00,Real Madrid,Ajax
06/03/2019 21:00,Paris,Man. United
06/03/2019 21:00,Porto,Roma
12/03/2019 21:00,Juventus,Atlético
12/03/2019 21:00,Man. City,Schalke
13/03/2019 21:00,Barcelona,Lyon
13/03/2019 21:00,Bayern,Liverpool
09/04/2019 21:00,Tottenham,Man. City
09/04/2019 21:00,Liverpool,Porto
10/04/2019 21:00,Man. United,Barcelona
10/04/2019 21:00,Ajax,Juventus
16/04/2019 21:00,Juventus,Ajax
16/04/2019 21:00,Barcelona,Man. United
17/04/2019 21:00,Porto,Liverpool
17/04/2019 21:00,Man. City,Tottenham
30/04/2019 21:00,Tottenham,Ajax
01/05/2019 21:00,Barcelona,Liverpool
07/05/2019 21:00,Liverpool,Barcelona
08/05/2019 21:00,Ajax,Tottenham
01/06/2019 21:00,Tottenham,Liverpool
