Date,Home Team,Away Team
17/09/2019 18:55,Internazionale,Slavia Praha
17/09/2019 18:55,Lyon,Zenit
17/09/2019 21:00,Napoli,Liverpool
17/09/2019 21:00,Salzburg,Genk
17/09/2019 21:00,Dortmund,Barcelona
17/09/2019 21:00,Benfica,Leipzig
17/09/2019 21:00,Chelsea,Valencia
17/09/2019 21:00,Ajax,LOSC
18/09/2019 18:55,Club Brugge,Galatasaray
18/09/2019 18:55,Olympiacos,Tottenham
18/09/2019 21:00,Paris,Real Madrid
18/09/2019 21:00,Bayern,Crvena zvezda
18/09/2019 21:00,Dinamo Zagreb,Atalanta
18/09/2019 21:00,Shakhtar Donetsk,Man. City
18/09/2019 21:00,Leverkusen,Lokomotiv Moskva
18/09/2019 21:00,Atlético,Juventus
01/10/2019 18:55,Real Madrid,Club Brugge
01/10/2019 18:55,Atalanta,Shakhtar Donetsk
01/10/2019 21:00,Galatasaray,Paris
01/10/2019 21:00,Tottenham,Bayern
01/10/2019 21:00,Crvena zvezda,Olympiacos
01/10/2019 21:00,Man. City,Dinamo Zagreb
01/10/2019 21:00,Juventus,Leverkusen
01/10/2019 21:00,Lokomotiv Moskva,Atlético
02/10/2019 18:55,Genk,Napoli
02/10/2019 18:55,Slavia Praha,Dortmund
02/10/2019 21:00,Liverpool,Salzburg
02/10/2019 21:00,Barcelona,Internazionale
02/10/2019 21:00,Leipzig,Lyon
02/10/2019 21:00,Zenit,Benfica
02/10/2019 21:00,LOSC,Chelsea
02/10/2019 21:00,Valencia,Ajax
22/10/2019 18:55,Shakhtar Donetsk,Dinamo Zagreb
22/10/2019 18:55,Atlético,Leverkusen
22/10/2019 21:00,Club Brugge,Paris
22/10/2019 21:00,Galatasaray,Real Madrid
22/10/2019 21:00,Olympiacos,Bayern
22/10/2019 21:00,Tottenham,Crvena zvezda
22/10/2019 21:00,Man. City,Atalanta
22/10/2019 21:00,Juventus,Lokomotiv Moskva
23/10/2019 18:55,Leipzig,Zenit
23/10/2019 18:55,Ajax,Chelsea
23/10/2019 21:00,Salzburg,Napoli
23/10/2019 21:00,Genk,Liverpool
23/10/2019 21:00,Internazionale,Dortmund
23/10/2019 21:00,Slavia Praha,Barcelona
23/10/2019 21:00,Benfica,Lyon
23/10/2019 21:00,LOSC,Valencia
05/11/2019 18:55,Barcelona,Slavia Praha
05/11/2019 18:55,Zenit,Leipzig
05/11/2019 21:00,Napoli,Salzburg
05/11/2019 21:00,Liverpool,Genk
05/11/2019 21:00,Dortmund,Internazionale
05/11/2019 21:00,Lyon,Benfica
05/11/2019 21:00,Chelsea,Ajax
05/11/2019 21:00,Valencia,LOSC
06/11/2019 18:55,Bayern,Olympiacos
06/11/2019 18:55,Lokomotiv Moskva,Juventus
06/11/2019 21:00,Paris,Club Brugge
06/11/2019 21:00,Real Madrid,Galatasaray
06/11/2019 21:00,Crvena zvezda,Tottenham
06/11/2019 21:00,Dinamo Zagreb,Shakhtar Donetsk
06/11/2019 21:00,Atalanta,Man. City
06/11/2019 21:00,Leverkusen,Atlético
26/11/2019 18:55,Galatasaray,Club Brugge
26/11/2019 18:55,Lokomotiv Moskva,Leverkusen
26/11/2019 21:00,Real Madrid,Paris
26/11/2019 21:00,Crvena zvezda,Bayern
26/11/2019 21:00,Tottenham,Olympiacos
26/11/2019 21:00,Atalanta,Dinamo Zagreb
26/11/2019 21:00,Man. City,Shakhtar Donetsk
26/11/2019 21:00,Juventus,Atlético
27/11/2019 18:55,Zenit,Lyon
27/11/2019 18:55,Valencia,Chelsea
27/11/2019 21:00,Liverpool,Napoli
27/11/2019 21:00,Genk,Salzburg
27/11/2019 21:00,Barcelona,Dortmund
27/11/2019 21:00,Slavia Praha,Internazionale
27/11/2019 21:00,Leipzig,Benfica
27/11/2019 21:00,LOSC,Ajax
10/12/2019 18:55,Napoli,Genk
10/12/2019 18:55,Salzburg,Liverpool
10/12/2019 21:00,Dortmund,Slavia Praha
10/12/2019 21:00,Internazionale,Barcelona
10/12/2019 21:00,Lyon,Leipzig
10/12/2019 21:00,Benfica,Zenit
10/12/2019 21:00,Chelsea,LOSC
10/12/2019 21:00,Ajax,Valencia
11/12/2019 18:55,Dinamo Zagreb,Man. City
11/12/2019 18:55,Shakhtar Donetsk,Atalanta
11/12/2019 21:00,Paris,Galatasaray
11/12/2019 21:00,Club Brugge,Real Madrid
11/12/2019 21:00,Bayern,Tottenham
11/12/2019 21:00,Olympiacos,Crvena zvezda
11/12/2019 21:00,Leverkusen,Juventus
11/12/2019 21:00,Atlético,Lokomotiv Moskva
18/02/2020 21:00,Atlético,Liverpool
18/02/2020 21:00,Dortmund,Paris
19/02/2020 21:00,Atalanta,Valencia
19/02/2020 21:00,Tottenham,Leipzig
25/02/2020 21:00,Chelsea,Bayern
25/02/2020 21:00,Napoli,Barcelona
26/02/2020 21:00,Lyon,Juventus
26/02/2020 21:00,Real Madrid,Man. City
10/03/2020 21:00,Valencia,Atalanta
10/03/2020 21:00,Leipzig,Tottenham
11/03/2020 21:00,Liverpool,Atlético
11/03/2020 21:00,Paris,Dortmund
07/08/2020 21:00,Juventus,Lyon
07/08/2020 21:00,Man. City,Real Madrid
08/08/2020 21:00,Bayern,Chelsea
08/08/2020 21:00,Barcelona,Napoli
12/08/2020 21:00,Atalanta,Paris
13/08/2020 21:00,Leipzig,Atlético
14/08/2020 21:00,Barcelona,Bayern
15/08/2020 21:00,Man. City,Lyon
18/08/2020 21:00,Leipzig,Paris
19/08/2020 21:00,Lyon,Bayern
23/08/2020 21:00,Paris,Bayern
