Date,Home Team,Away Team
19/09/2023 16:45,Milan,Newcastle
19/09/2023 16:45,Young Boys,Leipzig
19/09/2023 19:00,Feyenoord,Celtic
19/09/2023 19:00,Lazio,Atlético de Madrid
19/09/2023 19:00,Paris,Dortmund
19/09/2023 19:00,Man City,Crvena zvezda
19/09/2023 19:00,Barcelona,Antwerp
19/09/2023 19:00,Shakhtar Donetsk,FC Porto
20/09/2023 16:45,Galatasaray,Copenhagen
20/09/2023 16:45,Real Madrid,Union Berlin
20/09/2023 19:00,Bayern,Man United
20/09/2023 19:00,Sevilla,Lens
20/09/2023 19:00,Arsenal,PSV
20/09/2023 19:00,Braga,Napoli
20/09/2023 19:00,Real Sociedad,Inter
20/09/2023 19:00,Benfica,Salzburg
03/10/2023 16:45,Union Berlin,Braga
03/10/2023 16:45,Salzburg,Real Sociedad
03/10/2023 19:00,Man United,Galatasaray
03/10/2023 19:00,Copenhagen,Bayern
03/10/2023 19:00,Lens,Arsenal
03/10/2023 19:00,PSV,Sevilla
03/10/2023 19:00,Napoli,Real Madrid
03/10/2023 19:00,Inter,Benfica
04/10/2023 16:45,Atlético de Madrid,Feyenoord
04/10/2023 16:45,Antwerp,Shakhtar Donetsk
04/10/2023 19:00,Celtic,Lazio
04/10/2023 19:00,Dortmund,Milan
04/10/2023 19:00,Newcastle,Paris
04/10/2023 19:00,Leipzig,Man City
04/10/2023 19:00,Crvena zvezda,Young Boys
04/10/2023 19:00,FC Porto,Barcelona
24/10/2023 16:45,Galatasaray,Bayern
24/10/2023 16:45,Inter,Salzburg
24/10/2023 19:00,Man United,Copenhagen
24/10/2023 19:00,Sevilla,Arsenal
24/10/2023 19:00,Lens,PSV
24/10/2023 19:00,Braga,Real Madrid
24/10/2023 19:00,Union Berlin,Napoli
24/10/2023 19:00,Benfica,Real Sociedad
25/10/2023 16:45,Feyenoord,Lazio
25/10/2023 16:45,Barcelona,Shakhtar Donetsk
25/10/2023 19:00,Celtic,Atlético de Madrid
25/10/2023 19:00,Paris,Milan
25/10/2023 19:00,Newcastle,Dortmund
25/10/2023 19:00,Leipzig,Crvena zvezda
25/10/2023 19:00,Young Boys,Man City
25/10/2023 19:00,Antwerp,FC Porto
07/11/2023 17:45,Dortmund,Newcastle
07/11/2023 17:45,Shakhtar Donetsk,Barcelona
07/11/2023 20:00,Atlético de Madrid,Celtic
07/11/2023 20:00,Lazio,Feyenoord
07/11/2023 20:00,Milan,Paris
07/11/2023 20:00,Man City,Young Boys
07/11/2023 20:00,Crvena zvezda,Leipzig
07/11/2023 20:00,FC Porto,Antwerp
08/11/2023 17:45,Napoli,Union Berlin
08/11/2023 17:45,Real Sociedad,Benfica
08/11/2023 20:00,Bayern,Galatasaray
08/11/2023 20:00,Copenhagen,Man United
08/11/2023 20:00,Arsenal,Sevilla
08/11/2023 20:00,PSV,Lens
08/11/2023 20:00,Real Madrid,Braga
08/11/2023 20:00,Salzburg,Inter
28/11/2023 17:45,Lazio,Celtic
28/11/2023 17:45,Shakhtar Donetsk,Antwerp
28/11/2023 20:00,Feyenoord,Atlético de Madrid
28/11/2023 20:00,Paris,Newcastle
28/11/2023 20:00,Milan,Dortmund
28/11/2023 20:00,Man City,Leipzig
28/11/2023 20:00,Young Boys,Crvena zvezda
28/11/2023 20:00,Barcelona,FC Porto
29/11/2023 17:45,Galatasaray,Man United
29/11/2023 17:45,Sevilla,PSV
29/11/2023 20:00,Bayern,Copenhagen
29/11/2023 20:00,Arsenal,Lens
29/11/2023 20:00,Real Madrid,Napoli
29/11/2023 20:00,Braga,Union Berlin
29/11/2023 20:00,Benfica,Inter
29/11/2023 20:00,Real Sociedad,Salzburg
12/12/2023 17:45,Lens,Sevilla
12/12/2023 17:45,PSV,Arsenal
12/12/2023 20:00,Man United,Bayern
12/12/2023 20:00,Copenhagen,Galatasaray
12/12/2023 20:00,Napoli,Braga
12/12/2023 20:00,Union Berlin,Real Madrid
12/12/2023 20:00,Inter,Real Sociedad
12/12/2023 20:00,Salzburg,Benfica
13/12/2023 17:45,Leipzig,Young Boys
13/12/2023 17:45,Crvena zvezda,Man City
13/12/2023 20:00,Atlético de Madrid,Lazio
13/12/2023 20:00,Celtic,Feyenoord
13/12/2023 20:00,Dortmund,Paris
13/12/2023 20:00,Newcastle,Milan
13/12/2023 20:00,FC Porto,Shakhtar Donetsk
13/12/2023 20:00,Antwerp,Barcelona
13/02/2024 20:00,Leipzig,Real Madrid
13/02/2024 20:00,Copenhagen,Man City
14/02/2024 20:00,Lazio,Bayern
14/02/2024 20:00,Paris,Real Sociedad
20/02/2024 20:00,Inter,Atlético de Madrid
20/02/2024 20:00,PSV,Dortmund
21/02/2024 20:00,FC Porto,Arsenal
21/02/2024 20:00,Napoli,Barcelona
05/03/2024 20:00,Bayern,Lazio
05/03/2024 20:00,Real Sociedad,Paris
06/03/2024 20:00,Real Madrid,Leipzig
06/03/2024 20:00,Man City,Copenhagen
12/03/2024 20:00,Arsenal,FC Porto
12/03/2024 20:00,Barcelona,Napoli
13/03/2024 20:00,Atlético de Madrid,Inter
13/03/2024 20:00,Dortmund,PSV
09/04/2024 19:00,Arsenal,Bayern
09/04/2024 19:00,Real Madrid,Man City
10/04/2024 19:00,Atlético de Madrid,Dortmund
10/04/2024 19:00,Paris,Barcelona
16/04/2024 19:00,Barcelona,Paris
16/04/2024 19:00,Dortmund,Atlético de Madrid
17/04/2024 19:00,Man City,Real Madrid
17/04/2024 19:00,Bayern,Arsenal
30/04/2024 19:00,Bayern,Real Madrid
01/05/2024 19:00,Dortmund,Paris
07/05/2024 19:00,Paris,Dortmund
08/05/2024 19:00,Real Madrid,Bayern
01/06/2024 19:00,Dortmund,Real Madrid
