Date,Home Team,Away Team
14/09/2021 16:45,Young Boys,Man. United
14/09/2021 16:45,Sevilla,Salzburg
14/09/2021 19:00,Villarreal,Atalanta
14/09/2021 19:00,Dynamo Kyiv,Benfica
14/09/2021 19:00,Barcelona,Bayern
14/09/2021 19:00,LOSC,Wolfsburg
14/09/2021 19:00,Malmö,Juventus
14/09/2021 19:00,Chelsea,Zenit
15/09/2021 16:45,Besiktas,Dortmund
15/09/2021 16:45,Sheriff,Shakhtar Donetsk
15/09/2021 19:00,Club Brugge,Paris
15/09/2021 19:00,Man. City,Leipzig
15/09/2021 19:00,Atlético,Porto
15/09/2021 19:00,Liverpool,Milan
15/09/2021 19:00,Sporting CP,Ajax
15/09/2021 19:00,Inter,Real Madrid
28/09/2021 16:45,Ajax,Besiktas
28/09/2021 16:45,Shakhtar Donetsk,Inter
28/09/2021 19:00,Paris,Man. City
28/09/2021 19:00,Leipzig,Club Brugge
28/09/2021 19:00,Porto,Liverpool
28/09/2021 19:00,Milan,Atlético
28/09/2021 19:00,Dortmund,Sporting CP
28/09/2021 19:00,Real Madrid,Sheriff
29/09/2021 16:45,Atalanta,Young Boys
29/09/2021 16:45,Zenit,Malmö
29/09/2021 19:00,Bayern,Dynamo Kyiv
29/09/2021 19:00,Benfica,Barcelona
29/09/2021 19:00,Man. United,Villarreal
29/09/2021 19:00,Wolfsburg,Sevilla
29/09/2021 19:00,Salzburg,LOSC
29/09/2021 19:00,Juventus,Chelsea
19/10/2021 16:45,Club Brugge,Man. City
19/10/2021 16:45,Besiktas,Sporting CP
19/10/2021 19:00,Paris,Leipzig
19/10/2021 19:00,Porto,Milan
19/10/2021 19:00,Atlético,Liverpool
19/10/2021 19:00,Ajax,Dortmund
19/10/2021 19:00,Inter,Sheriff
19/10/2021 19:00,Shakhtar Donetsk,Real Madrid
20/10/2021 16:45,Barcelona,Dynamo Kyiv
20/10/2021 16:45,Salzburg,Wolfsburg
20/10/2021 19:00,Benfica,Bayern
20/10/2021 19:00,Young Boys,Villarreal
20/10/2021 19:00,Man. United,Atalanta
20/10/2021 19:00,LOSC,Sevilla
20/10/2021 19:00,Chelsea,Malmö
20/10/2021 19:00,Zenit,Juventus
02/11/2021 17:45,Wolfsburg,Salzburg
02/11/2021 17:45,Malmö,Chelsea
02/11/2021 20:00,Dynamo Kyiv,Barcelona
02/11/2021 20:00,Bayern,Benfica
02/11/2021 20:00,Villarreal,Young Boys
02/11/2021 20:00,Atalanta,Man. United
02/11/2021 20:00,Sevilla,LOSC
02/11/2021 20:00,Juventus,Zenit
03/11/2021 17:45,Milan,Porto
03/11/2021 17:45,Real Madrid,Shakhtar Donetsk
03/11/2021 20:00,Man. City,Club Brugge
03/11/2021 20:00,Leipzig,Paris
03/11/2021 20:00,Liverpool,Atlético
03/11/2021 20:00,Sporting CP,Besiktas
03/11/2021 20:00,Dortmund,Ajax
03/11/2021 20:00,Sheriff,Inter
23/11/2021 17:45,Dynamo Kyiv,Bayern
23/11/2021 17:45,Villarreal,Man. United
23/11/2021 20:00,Barcelona,Benfica
23/11/2021 20:00,Young Boys,Atalanta
23/11/2021 20:00,LOSC,Salzburg
23/11/2021 20:00,Sevilla,Wolfsburg
23/11/2021 20:00,Malmö,Zenit
23/11/2021 20:00,Chelsea,Juventus
24/11/2021 17:45,Besiktas,Ajax
24/11/2021 17:45,Inter,Shakhtar Donetsk
24/11/2021 20:00,Club Brugge,Leipzig
24/11/2021 20:00,Man. City,Paris
24/11/2021 20:00,Atlético,Milan
24/11/2021 20:00,Liverpool,Porto
24/11/2021 20:00,Sporting CP,Dortmund
24/11/2021 20:00,Sheriff,Real Madrid
07/12/2021 17:45,Paris,Club Brugge
07/12/2021 17:45,Leipzig,Man. City
07/12/2021 20:00,Milan,Liverpool
07/12/2021 20:00,Porto,Atlético
07/12/2021 20:00,Dortmund,Besiktas
07/12/2021 20:00,Ajax,Sporting CP
07/12/2021 20:00,Real Madrid,Inter
07/12/2021 20:00,Shakhtar Donetsk,Sheriff
08/12/2021 17:45,Juventus,Malmö
08/12/2021 17:45,Zenit,Chelsea
08/12/2021 20:00,Benfica,Dynamo Kyiv
08/12/2021 20:00,Bayern,Barcelona
08/12/2021 20:00,Man. United,Young Boys
08/12/2021 20:00,Salzburg,Sevilla
08/12/2021 20:00,Wolfsburg,LOSC
09/12/2021 18:00,Atalanta,Villarreal
15/02/2022 20:00,Paris,Real Madrid
15/02/2022 20:00,Sporting CP,Man. City
16/02/2022 20:00,Inter,Liverpool
16/02/2022 20:00,Salzburg,Bayern
22/02/2022 20:00,Villarreal,Juventus
22/02/2022 20:00,Chelsea,LOSC
23/02/2022 20:00,Atlético,Man. United
23/02/2022 20:00,Benfica,Ajax
08/03/2022 20:00,Bayern,Salzburg
08/03/2022 20:00,Liverpool,Inter
09/03/2022 20:00,Man. City,Sporting CP
09/03/2022 20:00,Real Madrid,Paris
15/03/2022 20:00,Ajax,Benfica
15/03/2022 20:00,Man. United,Atlético
16/03/2022 20:00,LOSC,Chelsea
16/03/2022 20:00,Juventus,Villarreal
05/04/2022 19:00,Man. City,Atlético
05/04/2022 19:00,Benfica,Liverpool
06/04/2022 19:00,Chelsea,Real Madrid
06/04/2022 19:00,Villarreal,Bayern
12/04/2022 19:00,Bayern,Villarreal
12/04/2022 19:00,Real Madrid,Chelsea
13/04/2022 19:00,Liverpool,Benfica
13/04/2022 19:00,Atlético,Man. City
26/04/2022 19:00,Man. City,Real Madrid
27/04/2022 19:00,Liverpool,Villarreal
03/05/2022 19:00,Villarreal,Liverpool
04/05/2022 19:00,Real Madrid,Man. City
28/05/2022 19:00,Liverpool,Real Madrid
