Date,Home Team,Away Team
20/10/2020 16:55,Zenit,Club Brugge
20/10/2020 16:55,Dynamo Kyiv,Juventus
20/10/2020 19:00,Rennes,Krasnodar
20/10/2020 19:00,Chelsea,Sevilla
20/10/2020 19:00,Lazio,Dortmund
20/10/2020 19:00,Barcelona,Ferencváros
20/10/2020 19:00,Paris,Man. United
20/10/2020 19:00,Leipzig,Istanbul Basaksehir
21/10/2020 16:55,Salzburg,Lokomotiv Moskva
21/10/2020 16:55,Real Madrid,Shakhtar Donetsk
21/10/2020 19:00,Bayern,Atlético
21/10/2020 19:00,Internazionale,Mönchengladbach
21/10/2020 19:00,Olympiacos,Marseille
21/10/2020 19:00,Man. City,Porto
21/10/2020 19:00,Ajax,Liverpool
21/10/2020 19:00,Midtjylland,Atalanta
27/10/2020 17:55,Lokomotiv Moskva,Bayern
27/10/2020 17:55,Shakhtar Donetsk,Internazionale
27/10/2020 20:00,Atlético,Salzburg
27/10/2020 20:00,Mönchengladbach,Real Madrid
27/10/2020 20:00,Porto,Olympiacos
27/10/2020 20:00,Marseille,Man. City
27/10/2020 20:00,Atalanta,Ajax
27/10/2020 20:00,Liverpool,Midtjylland
28/10/2020 17:55,Krasnodar,Chelsea
28/10/2020 17:55,Istanbul Basaksehir,Paris
28/10/2020 20:00,Sevilla,Rennes
28/10/2020 20:00,Club Brugge,Lazio
28/10/2020 20:00,Dortmund,Zenit
28/10/2020 20:00,Ferencváros,Dynamo Kyiv
28/10/2020 20:00,Juventus,Barcelona
28/10/2020 20:00,Man. United,Leipzig
03/11/2020 17:55,Lokomotiv Moskva,Atlético
03/11/2020 17:55,Shakhtar Donetsk,Mönchengladbach
03/11/2020 20:00,Salzburg,Bayern
03/11/2020 20:00,Real Madrid,Internazionale
03/11/2020 20:00,Man. City,Olympiacos
03/11/2020 20:00,Porto,Marseille
03/11/2020 20:00,Midtjylland,Ajax
03/11/2020 20:00,Atalanta,Liverpool
04/11/2020 17:55,Zenit,Lazio
04/11/2020 17:55,Istanbul Basaksehir,Man. United
04/11/2020 20:00,Chelsea,Rennes
04/11/2020 20:00,Sevilla,Krasnodar
04/11/2020 20:00,Club Brugge,Dortmund
04/11/2020 20:00,Barcelona,Dynamo Kyiv
04/11/2020 20:00,Ferencváros,Juventus
04/11/2020 20:00,Leipzig,Paris
24/11/2020 17:55,Rennes,Chelsea
24/11/2020 17:55,Krasnodar,Sevilla
24/11/2020 20:00,Lazio,Zenit
24/11/2020 20:00,Dortmund,Club Brugge
24/11/2020 20:00,Dynamo Kyiv,Barcelona
24/11/2020 20:00,Juventus,Ferencváros
24/11/2020 20:00,Paris,Leipzig
24/11/2020 20:00,Man. United,Istanbul Basaksehir
25/11/2020 17:55,Mönchengladbach,Shakhtar Donetsk
25/11/2020 17:55,Olympiacos,Man. City
25/11/2020 20:00,Bayern,Salzburg
25/11/2020 20:00,Atlético,Lokomotiv Moskva
25/11/2020 20:00,Internazionale,Real Madrid
25/11/2020 20:00,Marseille,Porto
25/11/2020 20:00,Ajax,Midtjylland
25/11/2020 20:00,Liverpool,Atalanta
01/12/2020 17:55,Lokomotiv Moskva,Salzburg
01/12/2020 17:55,Shakhtar Donetsk,Real Madrid
01/12/2020 20:00,Atlético,Bayern
01/12/2020 20:00,Mönchengladbach,Internazionale
01/12/2020 20:00,Marseille,Olympiacos
01/12/2020 20:00,Porto,Man. City
01/12/2020 20:00,Liverpool,Ajax
01/12/2020 20:00,Atalanta,Midtjylland
02/12/2020 17:55,Krasnodar,Rennes
02/12/2020 17:55,Istanbul Basaksehir,Leipzig
02/12/2020 20:00,Sevilla,Chelsea
02/12/2020 20:00,Dortmund,Lazio
02/12/2020 20:00,Club Brugge,Zenit
02/12/2020 20:00,Juventus,Dynamo Kyiv
02/12/2020 20:00,Ferencváros,Barcelona
02/12/2020 20:00,Man. United,Paris
08/12/2020 17:55,Lazio,Club Brugge
08/12/2020 17:55,Zenit,Dortmund
08/12/2020 20:00,Rennes,Sevilla
08/12/2020 20:00,Chelsea,Krasnodar
08/12/2020 20:00,Dynamo Kyiv,Ferencváros
08/12/2020 20:00,Barcelona,Juventus
08/12/2020 20:00,Leipzig,Man. United
09/12/2020 17:55,Paris,Istanbul Basaksehir
09/12/2020 17:55,Ajax,Atalanta
09/12/2020 17:55,Midtjylland,Liverpool
09/12/2020 20:00,Bayern,Lokomotiv Moskva
09/12/2020 20:00,Salzburg,Atlético
09/12/2020 20:00,Internazionale,Shakhtar Donetsk
09/12/2020 20:00,Real Madrid,Mönchengladbach
09/12/2020 20:00,Olympiacos,Porto
09/12/2020 20:00,Man. City,Marseille
16/02/2021 20:00,Barcelona,Paris
16/02/2021 20:00,Leipzig,Liverpool
17/02/2021 20:00,Porto,Juventus
17/02/2021 20:00,Sevilla,Dortmund
23/02/2021 20:00,Atlético,Chelsea
23/02/2021 20:00,Lazio,Bayern
24/02/2021 20:00,Atalanta,Real Madrid
24/02/2021 20:00,Mönchengladbach,Man. City
09/03/2021 20:00,Juventus,Porto
09/03/2021 20:00,Dortmund,Sevilla
10/03/2021 20:00,Liverpool,Leipzig
10/03/2021 20:00,Paris,Barcelona
16/03/2021 20:00,Man. City,Mönchengladbach
16/03/2021 20:00,Real Madrid,Atalanta
17/03/2021 20:00,Chelsea,Atlético
17/03/2021 20:00,Bayern,Lazio
06/04/2021 19:00,Real Madrid,Liverpool
06/04/2021 19:00,Man. City,Dortmund
