Date,Home Team,Away Team
17/09/2024 16:45,Juventus,PSV
17/09/2024 16:45,Young Boys,Aston Villa
17/09/2024 19:00,Bayern München,GNK Dinamo
17/09/2024 19:00,Milan,Liverpool
17/09/2024 19:00,Real Madrid,Stuttgart
17/09/2024 19:00,Sporting CP,Lille
18/09/2024 16:45,Bologna,Shakhtar
18/09/2024 16:45,Sparta Praha,Salzburg
18/09/2024 19:00,Club Brugge,B. Dortmund
18/09/2024 19:00,Celtic,S. Bratislava
18/09/2024 19:00,Man City,Inter
18/09/2024 19:00,Paris,Girona
19/09/2024 16:45,Crvena Zvezda,Benfica
19/09/2024 16:45,Feyenoord,Leverkusen
19/09/2024 19:00,Atalanta,Arsenal
19/09/2024 19:00,Atleti,Leipzig
19/09/2024 19:00,Monaco,Barcelona
19/09/2024 19:00,Brest,Sturm Graz
01/10/2024 16:45,Salzburg,Brest
01/10/2024 16:45,Stuttgart,Sparta Praha
01/10/2024 19:00,Inter,Crvena Zvezda
01/10/2024 19:00,B. Dortmund,Celtic
01/10/2024 19:00,Barcelona,Young Boys
01/10/2024 19:00,Leverkusen,Milan
01/10/2024 19:00,Arsenal,Paris
01/10/2024 19:00,PSV,Sporting CP
01/10/2024 19:00,S. Bratislava,Man City
02/10/2024 16:45,Shakhtar,Atalanta
02/10/2024 16:45,Girona,Feyenoord
02/10/2024 19:00,Liverpool,Bologna
02/10/2024 19:00,Leipzig,Juventus
02/10/2024 19:00,Benfica,Atleti
02/10/2024 19:00,GNK Dinamo,Monaco
02/10/2024 19:00,Lille,Real Madrid
02/10/2024 19:00,Aston Villa,Bayern München
02/10/2024 19:00,Sturm Graz,Club Brugge
22/10/2024 16:45,Milan,Club Brugge
22/10/2024 16:45,Monaco,Crvena Zvezda
22/10/2024 19:00,Paris,PSV
22/10/2024 19:00,Juventus,Stuttgart
22/10/2024 19:00,Arsenal,Shakhtar
22/10/2024 19:00,Aston Villa,Bologna
22/10/2024 19:00,Girona,S. Bratislava
22/10/2024 19:00,Sturm Graz,Sporting CP
22/10/2024 19:00,Real Madrid,B. Dortmund
23/10/2024 16:45,Atalanta,Celtic
23/10/2024 16:45,Brest,Leverkusen
23/10/2024 19:00,Man City,Sparta Praha
23/10/2024 19:00,Leipzig,Liverpool
23/10/2024 19:00,Barcelona,Bayern München
23/10/2024 19:00,Atleti,Lille
23/10/2024 19:00,Benfica,Feyenoord
23/10/2024 19:00,Salzburg,GNK Dinamo
23/10/2024 19:00,Young Boys,Inter
05/11/2024 17:45,PSV,Girona
05/11/2024 17:45,S. Bratislava,GNK Dinamo
05/11/2024 20:00,Real Madrid,Milan
05/11/2024 20:00,Liverpool,Leverkusen
05/11/2024 20:00,B. Dortmund,Sturm Graz
05/11/2024 20:00,Sporting CP,Man City
05/11/2024 20:00,Lille,Juventus
05/11/2024 20:00,Celtic,Leipzig
05/11/2024 20:00,Bologna,Monaco
06/11/2024 17:45,Club Brugge,Aston Villa
06/11/2024 17:45,Shakhtar,Young Boys
06/11/2024 20:00,Paris,Atleti
06/11/2024 20:00,Inter,Arsenal
06/11/2024 20:00,Feyenoord,Salzburg
06/11/2024 20:00,Crvena Zvezda,Barcelona
06/11/2024 20:00,Sparta Praha,Brest
06/11/2024 20:00,Stuttgart,Atalanta
06/11/2024 20:15,Bayern München,Benfica
26/11/2024 17:45,S. Bratislava,Milan
26/11/2024 17:45,Sparta Praha,Atleti
26/11/2024 20:00,Man City,Feyenoord
26/11/2024 20:00,Bayern München,Paris
26/11/2024 20:00,Inter,Leipzig
26/11/2024 20:00,Barcelona,Brest
26/11/2024 20:00,Leverkusen,Salzburg
26/11/2024 20:00,Sporting CP,Arsenal
26/11/2024 20:00,Young Boys,Atalanta
27/11/2024 17:45,Crvena Zvezda,Stuttgart
27/11/2024 17:45,Sturm Graz,Girona
27/11/2024 20:00,Liverpool,Real Madrid
27/11/2024 20:00,PSV,Shakhtar
27/11/2024 20:00,GNK Dinamo,B. Dortmund
27/11/2024 20:00,Celtic,Club Brugge
27/11/2024 20:00,Monaco,Benfica
27/11/2024 20:00,Aston Villa,Juventus
27/11/2024 20:00,Bologna,Lille
10/12/2024 17:45,GNK Dinamo,Celtic
10/12/2024 17:45,Girona,Liverpool
10/12/2024 20:00,Leipzig,Aston Villa
10/12/2024 20:00,Leverkusen,Inter
10/12/2024 20:00,Atalanta,Real Madrid
10/12/2024 20:00,Club Brugge,Sporting CP
10/12/2024 20:00,Shakhtar,Bayern München
10/12/2024 20:00,Salzburg,Paris
10/12/2024 20:00,Brest,PSV
11/12/2024 17:45,Atleti,S. Bratislava
11/12/2024 17:45,Lille,Sturm Graz
11/12/2024 20:00,B. Dortmund,Barcelona
11/12/2024 20:00,Juventus,Man City
11/12/2024 20:00,Benfica,Bologna
11/12/2024 20:00,Arsenal,Monaco
11/12/2024 20:00,Milan,Crvena Zvezda
11/12/2024 20:00,Feyenoord,Sparta Praha
11/12/2024 20:00,Stuttgart,Young Boys
21/01/2025 17:45,Atalanta,Sturm Graz
21/01/2025 17:45,Monaco,Aston Villa
21/01/2025 20:00,S. Bratislava,Stuttgart
21/01/2025 20:00,Club Brugge,Juventus
21/01/2025 20:00,Atleti,Leverkusen
21/01/2025 20:00,Benfica,Barcelona
21/01/2025 20:00,Liverpool,Lille
21/01/2025 20:00,Bologna,B. Dortmund
21/01/2025 20:00,Crvena Zvezda,PSV
22/01/2025 17:45,Leipzig,Sporting CP
22/01/2025 17:45,Shakhtar,Brest
22/01/2025 20:00,Real Madrid,Salzburg
22/01/2025 20:00,Paris,Man City
22/01/2025 20:00,Sparta Praha,Inter
22/01/2025 20:00,Arsenal,GNK Dinamo
22/01/2025 20:00,Celtic,Young Boys
22/01/2025 20:00,Feyenoord,Bayern München
22/01/2025 20:00,Milan,Girona
29/01/2025 20:00,Sporting CP,Bologna
29/01/2025 20:00,PSV,Liverpool
29/01/2025 20:00,Young Boys,Crvena Zvezda
29/01/2025 20:00,Stuttgart,Paris
29/01/2025 20:00,Sturm Graz,Leipzig
29/01/2025 20:00,Man City,Club Brugge
29/01/2025 20:00,Bayern München,S. Bratislava
29/01/2025 20:00,Inter,Monaco
29/01/2025 20:00,B. Dortmund,Shakhtar
29/01/2025 20:00,Barcelona,Atalanta
29/01/2025 20:00,Leverkusen,Sparta Praha
29/01/2025 20:00,Juventus,Benfica
29/01/2025 20:00,GNK Dinamo,Milan
29/01/2025 20:00,Salzburg,Atleti
29/01/2025 20:00,Lille,Feyenoord
29/01/2025 20:00,Aston Villa,Celtic
29/01/2025 20:00,Girona,Arsenal
29/01/2025 20:00,Brest,Real Madrid
