Date,Home Team,Away Team
15/09/2021 14:30,Spartak Moskva,Legia
16/09/2021 16:45,Galatasaray,Lazio
16/09/2021 16:45,Lokomotiv Moskva,Marseille
16/09/2021 16:45,Crvena zvezda,Braga
16/09/2021 16:45,Midtjylland,Ludogorets
16/09/2021 16:45,Betis,Celtic
16/09/2021 16:45,Leverkusen,Ferencváros
16/09/2021 16:45,Rapid Wien,Genk
16/09/2021 16:45,Dinamo Zagreb,West Ham
16/09/2021 19:00,Brøndby,Sparta Praha
16/09/2021 19:00,Rangers,Lyon
16/09/2021 19:00,Monaco,Sturm
16/09/2021 19:00,PSV,Real Sociedad
16/09/2021 19:00,Leicester,Napoli
16/09/2021 19:00,Olympiacos,Antwerp
16/09/2021 19:00,Frankfurt,Fenerbahçe
30/09/2021 16:45,Sparta Praha,Rangers
30/09/2021 16:45,Lyon,Brøndby
30/09/2021 16:45,Sturm,PSV
30/09/2021 16:45,Real Sociedad,Monaco
30/09/2021 16:45,Legia,Leicester
30/09/2021 16:45,Napoli,Spartak Moskva
30/09/2021 16:45,Fenerbahçe,Olympiacos
30/09/2021 16:45,Antwerp,Frankfurt
30/09/2021 19:00,Marseille,Galatasaray
30/09/2021 19:00,Lazio,Lokomotiv Moskva
30/09/2021 19:00,Braga,Midtjylland
30/09/2021 19:00,Ludogorets,Crvena zvezda
30/09/2021 19:00,Ferencváros,Betis
30/09/2021 19:00,Celtic,Leverkusen
30/09/2021 19:00,West Ham,Rapid Wien
30/09/2021 19:00,Genk,Dinamo Zagreb
19/10/2021 14:30,Celtic,Ferencváros
20/10/2021 14:30,Spartak Moskva,Leicester
21/10/2021 16:45,Fenerbahçe,Antwerp
21/10/2021 16:45,Lazio,Marseille
21/10/2021 16:45,Midtjylland,Crvena zvezda
21/10/2021 16:45,Ludogorets,Braga
21/10/2021 16:45,Betis,Leverkusen
21/10/2021 16:45,Rapid Wien,Dinamo Zagreb
21/10/2021 19:00,Rangers,Brøndby
21/10/2021 19:00,Sparta Praha,Lyon
21/10/2021 19:00,PSV,Monaco
21/10/2021 19:00,Sturm,Real Sociedad
21/10/2021 19:00,Napoli,Legia
21/10/2021 19:00,Frankfurt,Olympiacos
21/10/2021 19:00,Lokomotiv Moskva,Galatasaray
21/10/2021 19:00,West Ham,Genk
04/11/2021 17:45,Brøndby,Rangers
04/11/2021 17:45,Lyon,Sparta Praha
04/11/2021 17:45,Real Sociedad,Sturm
04/11/2021 17:45,Monaco,PSV
04/11/2021 17:45,Legia,Napoli
04/11/2021 17:45,Olympiacos,Frankfurt
04/11/2021 17:45,Galatasaray,Lokomotiv Moskva
04/11/2021 17:45,Genk,West Ham
04/11/2021 20:00,Leicester,Spartak Moskva
04/11/2021 20:00,Antwerp,Fenerbahçe
04/11/2021 20:00,Marseille,Lazio
04/11/2021 20:00,Crvena zvezda,Midtjylland
04/11/2021 20:00,Braga,Ludogorets
04/11/2021 20:00,Ferencváros,Celtic
04/11/2021 20:00,Leverkusen,Betis
04/11/2021 20:00,Dinamo Zagreb,Rapid Wien
24/11/2021 15:30,Spartak Moskva,Napoli
25/11/2021 17:45,Lokomotiv Moskva,Lazio
25/11/2021 17:45,Galatasaray,Marseille
25/11/2021 17:45,Crvena zvezda,Ludogorets
25/11/2021 17:45,Midtjylland,Braga
25/11/2021 17:45,Rapid Wien,West Ham
25/11/2021 17:45,Dinamo Zagreb,Genk
25/11/2021 17:45,Betis,Ferencváros
25/11/2021 17:45,Leverkusen,Celtic
25/11/2021 20:00,Brøndby,Lyon
25/11/2021 20:00,Rangers,Sparta Praha
25/11/2021 20:00,PSV,Sturm
25/11/2021 20:00,Monaco,Real Sociedad
25/11/2021 20:00,Leicester,Legia
25/11/2021 20:00,Olympiacos,Fenerbahçe
25/11/2021 20:00,Frankfurt,Antwerp
09/12/2021 17:45,Sparta Praha,Brøndby
09/12/2021 17:45,Lyon,Rangers
09/12/2021 17:45,Sturm,Monaco
09/12/2021 17:45,Real Sociedad,PSV
09/12/2021 17:45,Napoli,Leicester
09/12/2021 17:45,Legia,Spartak Moskva
09/12/2021 17:45,Antwerp,Olympiacos
09/12/2021 17:45,Fenerbahçe,Frankfurt
09/12/2021 20:00,Marseille,Lokomotiv Moskva
09/12/2021 20:00,Lazio,Galatasaray
09/12/2021 20:00,Braga,Crvena zvezda
09/12/2021 20:00,Ludogorets,Midtjylland
09/12/2021 20:00,Ferencváros,Leverkusen
09/12/2021 20:00,Celtic,Betis
09/12/2021 20:00,West Ham,Dinamo Zagreb
09/12/2021 20:00,Genk,Rapid Wien
17/02/2022 17:45,Sheriff,Braga
17/02/2022 17:45,Dortmund,Rangers
17/02/2022 17:45,Zenit,Betis
17/02/2022 17:45,Barcelona,Napoli
17/02/2022 20:00,Porto,Lazio
17/02/2022 20:00,Leipzig,Real Sociedad
17/02/2022 20:00,Atalanta,Olympiacos
17/02/2022 20:00,Sevilla,Dinamo Zagreb
24/02/2022 17:45,Lazio,Porto
24/02/2022 17:45,Real Sociedad,Leipzig
24/02/2022 17:45,Olympiacos,Atalanta
24/02/2022 17:45,Dinamo Zagreb,Sevilla
24/02/2022 20:00,Braga,Sheriff
24/02/2022 20:00,Rangers,Dortmund
24/02/2022 20:00,Betis,Zenit
24/02/2022 20:00,Napoli,Barcelona
09/03/2022 17:45,Betis,Frankfurt
09/03/2022 17:45,Porto,Lyon
10/03/2022 17:45,Leipzig,Spartak Moskva
10/03/2022 17:45,Sevilla,West Ham
10/03/2022 20:00,Atalanta,Leverkusen
10/03/2022 20:00,Barcelona,Galatasaray
10/03/2022 20:00,Braga,Monaco
10/03/2022 20:00,Rangers,Crvena zvezda
17/03/2022 17:45,Crvena zvezda,Rangers
17/03/2022 17:45,Galatasaray,Barcelona
17/03/2022 17:45,Leverkusen,Atalanta
17/03/2022 17:45,Monaco,Braga
17/03/2022 17:45,Spartak Moskva,Leipzig
17/03/2022 20:00,Frankfurt,Betis
17/03/2022 20:00,Lyon,Porto
17/03/2022 20:00,West Ham,Sevilla
07/04/2022 16:45,Leipzig,Atalanta
07/04/2022 19:00,Braga,Rangers
07/04/2022 19:00,Frankfurt,Barcelona
07/04/2022 19:00,West Ham,Lyon
14/04/2022 16:45,Atalanta,Leipzig
14/04/2022 19:00,Barcelona,Frankfurt
14/04/2022 19:00,Lyon,West Ham
14/04/2022 19:00,Rangers,Braga
28/04/2022 19:00,Leipzig,Rangers
28/04/2022 19:00,West Ham,Frankfurt
05/05/2022 19:00,Rangers,Leipzig
05/05/2022 19:00,Frankfurt,West Ham
18/05/2022 19:00,Frankfurt,Rangers
