Date,Home Team,Away Team
21/09/2023 16:45,Union SG,Toulouse
21/09/2023 16:45,LASK,Liverpool
21/09/2023 16:45,Rennes,Maccabi Haifa
21/09/2023 16:45,Panathinaikos,Villarreal
21/09/2023 16:45,Servette,Slavia Praha
21/09/2023 16:45,Sheriff,Roma
21/09/2023 16:45,Leverkusen,Häcken
21/09/2023 16:45,Qarabag,Molde
21/09/2023 19:00,West Ham,TSC
21/09/2023 19:00,Olympiacos,Freiburg
21/09/2023 19:00,Ajax,Marseille
21/09/2023 19:00,Brighton,AEK Athens
21/09/2023 19:00,Sparta Praha,Aris Limassol
21/09/2023 19:00,Rangers,Real Betis
21/09/2023 19:00,Atalanta,Raków
21/09/2023 19:00,Sturm Graz,Sporting CP
05/10/2023 16:45,Freiburg,West Ham
05/10/2023 16:45,TSC,Olympiacos
05/10/2023 16:45,Marseille,Brighton
05/10/2023 16:45,AEK Athens,Ajax
05/10/2023 16:45,Real Betis,Sparta Praha
05/10/2023 16:45,Aris Limassol,Rangers
05/10/2023 16:45,Sporting CP,Atalanta
05/10/2023 16:45,Raków,Sturm Graz
05/10/2023 19:00,Liverpool,Union SG
05/10/2023 19:00,Toulouse,LASK
05/10/2023 19:00,Villarreal,Rennes
05/10/2023 19:00,Maccabi Haifa,Panathinaikos
05/10/2023 19:00,Roma,Servette
05/10/2023 19:00,Slavia Praha,Sheriff
05/10/2023 19:00,Molde,Leverkusen
05/10/2023 19:00,Häcken,Qarabag
26/10/2023 16:45,Olympiacos,West Ham
26/10/2023 16:45,TSC,Freiburg
26/10/2023 16:45,Marseille,AEK Athens
26/10/2023 16:45,Sparta Praha,Rangers
26/10/2023 16:45,Aris Limassol,Real Betis
26/10/2023 16:45,Sturm Graz,Atalanta
26/10/2023 16:45,Raków,Sporting CP
26/10/2023 16:45,Molde,Häcken
26/10/2023 19:00,Brighton,Ajax
26/10/2023 19:00,Union SG,LASK
26/10/2023 19:00,Liverpool,Toulouse
26/10/2023 19:00,Panathinaikos,Rennes
26/10/2023 19:00,Roma,Slavia Praha
26/10/2023 19:00,Sheriff,Servette
26/10/2023 19:00,Leverkusen,Qarabag
06/12/2023 20:00,Villarreal,Maccabi Haifa
09/11/2023 17:45,Ajax,Brighton
09/11/2023 17:45,LASK,Union SG
09/11/2023 17:45,Toulouse,Liverpool
09/11/2023 17:45,Rennes,Panathinaikos
09/11/2023 17:45,Maccabi Haifa,Villarreal
09/11/2023 17:45,Servette,Sheriff
09/11/2023 17:45,Slavia Praha,Roma
09/11/2023 17:45,Qarabag,Leverkusen
09/11/2023 20:00,Freiburg,TSC
09/11/2023 20:00,West Ham,Olympiacos
09/11/2023 20:00,AEK Athens,Marseille
09/11/2023 20:00,Real Betis,Aris Limassol
09/11/2023 20:00,Rangers,Sparta Praha
09/11/2023 20:00,Atalanta,Sturm Graz
09/11/2023 20:00,Sporting CP,Raków
09/11/2023 20:00,Häcken,Molde
30/11/2023 17:45,Freiburg,Olympiacos
30/11/2023 17:45,TSC,West Ham
30/11/2023 17:45,AEK Athens,Brighton
30/11/2023 17:45,Sparta Praha,Real Betis
30/11/2023 17:45,Atalanta,Sporting CP
30/11/2023 17:45,Sturm Graz,Raków
30/11/2023 17:45,Maccabi Haifa,Rennes
30/11/2023 20:00,Marseille,Ajax
30/11/2023 20:00,Rangers,Aris Limassol
30/11/2023 20:00,Liverpool,LASK
30/11/2023 20:00,Toulouse,Union SG
30/11/2023 20:00,Villarreal,Panathinaikos
30/11/2023 20:00,Servette,Roma
30/11/2023 20:00,Sheriff,Slavia Praha
30/11/2023 20:00,Molde,Qarabag
30/11/2023 20:00,Häcken,Leverkusen
14/12/2023 17:45,Union SG,Liverpool
14/12/2023 17:45,LASK,Toulouse
14/12/2023 17:45,Rennes,Villarreal
14/12/2023 17:45,Panathinaikos,Maccabi Haifa
14/12/2023 17:45,Roma,Sheriff
14/12/2023 17:45,Slavia Praha,Servette
14/12/2023 17:45,Leverkusen,Molde
14/12/2023 17:45,Qarabag,Häcken
14/12/2023 20:00,West Ham,Freiburg
14/12/2023 20:00,Olympiacos,TSC
14/12/2023 20:00,Ajax,AEK Athens
14/12/2023 20:00,Brighton,Marseille
14/12/2023 20:00,Real Betis,Rangers
14/12/2023 20:00,Aris Limassol,Sparta Praha
14/12/2023 20:00,Sporting CP,Sturm Graz
14/12/2023 20:00,Raków,Atalanta
15/02/2024 17:45,Feyenoord,Roma
15/02/2024 17:45,Galatasaray,Sparta Praha
15/02/2024 17:45,Shakhtar Donetsk,Marseille
15/02/2024 17:45,Young Boys,Sporting CP
15/02/2024 20:00,Benfica,Toulouse
15/02/2024 20:00,Milan,Rennes
15/02/2024 20:00,Lens,Freiburg
15/02/2024 20:00,Braga,Qarabag
22/02/2024 17:45,Toulouse,Benfica
22/02/2024 17:45,Rennes,Milan
22/02/2024 17:45,Freiburg,Lens
22/02/2024 17:45,Qarabag,Braga
22/02/2024 20:00,Roma,Feyenoord
22/02/2024 20:00,Sparta Praha,Galatasaray
22/02/2024 20:00,Marseille,Shakhtar Donetsk
22/02/2024 20:00,Sporting CP,Young Boys
06/03/2024 17:45,Sporting CP,Atalanta
07/03/2024 17:45,Sparta Praha,Liverpool
07/03/2024 17:45,Roma,Brighton
07/03/2024 17:45,Qarabag,Leverkusen
07/03/2024 20:00,Marseille,Villarreal
07/03/2024 20:00,Benfica,Rangers
07/03/2024 20:00,Freiburg,West Ham
07/03/2024 20:00,Milan,Slavia Praha
14/03/2024 17:45,Villarreal,Marseille
14/03/2024 17:45,Rangers,Benfica
14/03/2024 17:45,West Ham,Freiburg
